,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VOC, 10-2 disjoint setting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,Step,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,M-IoU (1-10),M-IoU (11-12),M-IoU (13-14),M-IoU (15-16),M-IoU (17-18),M-IoU (19-20)
WILSON,0,87.59,68.92,25.48,83.29,54.9,79.22,69.01,57.71,50.77,23.65,33.99,x,x,x,x,x,x,x,x,x,x,54.694,x,x,x,x,x
,1,84.83,73.32,28.54,77.65,61.27,76.2,70.52,50.89,72.14,21.75,48.67,18.16,23.24,x,x,x,x,x,x,x,x,58.095,20.7,x,x,x,x
,2,84.98,72.75,31.35,71.74,58.23,71.81,74.44,72.26,73.72,21.4,33.77,18.69,29.87,21.55,23.74,x,x,x,x,x,x,58.147,24.28,22.645,x,x,x
,3,76.5,38.59,27.15,65.64,5.36,66.38,26.62,59.05,74.8,21.33,31.01,11.01,41.58,16.29,29.09,22.43,36.33,x,x,x,x,41.593,26.295,22.69,29.38,x,x
,4,73.18,45.04,23.62,60.79,14.3,59.43,24.66,63.9,66.27,3.28,36.45,0.54,41.83,15.49,38.03,24.58,36.55,14.75,11.92,x,x,39.774,21.185,26.76,30.565,13.335,x
,5,71.03,44,24.79,60.38,12.41,57.69,13.7,59.86,50.77,1.88,38.44,0.1,36.19,14.08,39.79,27.26,36.22,16.87,12.89,19.7,5.17,36.392,18.145,26.935,31.74,14.88,12.435
Ours,0,87.59,68.92,25.48,83.29,54.9,79.22,69.01,57.71,50.77,23.65,33.99,x,x,x,x,x,x,x,x,x,x,54.694,x,x,x,x,x
,1,86.1,73.5,27.59,81.14,62.24,75.35,68.46,50.86,71.15,21.37,52.26,17.52,26.67,x,x,x,x,x,x,x,x,58.392,22.095,x,x,x,x
,2,86.28,75.36,31.96,75.4,57.76,73.81,74.61,69.09,78.75,20.46,45.64,18.91,34.68,20.47,26.14,x,x,x,x,x,x,60.284,26.795,23.305,x,x,x
,3,83.09,37.27,27.65,71.27,17.17,72.74,60.26,69.2,78.37,20.45,46.07,13.71,45.79,21.87,40.54,30.45,35.66,x,x,x,x,50.045,29.75,31.205,33.055,x,x
,4,82.45,37.11,22.47,61.22,21.49,64.24,47.07,74.65,70.76,3.57,44.93,0.49,47.48,18.11,46.29,32.79,36.21,29.2,12.18,x,x,44.751,23.985,32.2,34.5,20.69,x
,5,79.93,34.39,20.73,61.39,18.95,61.77,37.97,73.18,68.85,1.8,46.32,0.42,49.02,15.9,45.06,36.83,36.49,29.88,15.92,25.72,7.17,42.535,24.72,30.48,36.66,22.9,16.445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VOC, 10-5 disjoint setting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,Step,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,M-IoU (1-10),M-IoU (11-15),M-IoU (16-20),,,
WILSON,0,87.59,68.92,25.48,83.29,54.9,79.22,69.01,57.71,50.77,23.65,33.99,x,x,x,x,x,x,x,x,x,x,54.694,x,x,,,
,1,87.94,67.18,33.49,85.63,42.1,81.12,70.17,66.59,68.26,23.18,51.14,26.3,56.43,44.68,56.96,46.83,x,x,x,x,x,58.886,46.24,x,,,
,2,87.3,73.65,34.07,81.61,35.27,80.68,68.19,57.59,70.43,27.98,56.83,27.06,59.47,38.35,59.75,50.04,27.47,54.29,35.7,61.24,39.53,58.63,46.934,43.646,,,
Ours,0,87.59,68.92,25.48,83.29,54.9,79.22,69.01,57.71,50.77,23.65,33.99,x,x,x,x,x,x,x,x,x,x,54.694,x,x,,,
,1,88.5,70.91,34.24,85.94,49.95,81.36,75.43,67.03,68.24,23,50.62,25.86,55.56,44.99,58.56,50.6,x,x,x,x,x,60.672,47.114,x,,,
,2,88.77,76.65,34.21,82.64,38.1,80.65,76.49,61.43,71.94,26.85,56.14,24.92,60.97,37.05,60.59,54.81,28.5,61.41,33.48,66.5,39.91,60.51,47.668,45.96,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VOC, 10-2 overlap setting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
